x_utm,y_utm,ba_ppm,co_ppm,cr_ppm,cu_ppm,fe2o3_pct,ni_ppm,p_ppm,pb_ppm,v_ppm,y_ppm,zn_ppm
759315,6194615,367,15,70,25,1.89,32,240,13,38,13,33
758852,6196113,397,14,35,24,3.65,19,274,14,56,16,45
758572,6196100,371,24,46,39,3.26,39,244,26,55,17,61
758122,6197536,430,13,41,23,4.40,18,284,15,61,19,64
758420,6197040,403,19,40,22,5.73,20,386,13,80,28,88
758769,6197294,440,11,56,22,6.11,21,358,14,65,20,75
758903,6196894,432,11,40,29,2.56,25,237,19,40,16,40
758261,6198545,476,12,43,30,4.52,22,363,11,50,26,59
758496,6198183,409,17,51,29,6.19,32,308,14,67,22,69
757842,6198545,493,12,35,22,5.85,20,573,16,63,27,68
751967,6192945,491,13,50,27,5.00,27,277,19,84,25,72
752488,6193028,508,14,39,22,5.35,18,354,19,68,20,70
752380,6193263,497,12,31,18,3.92,14,263,19,71,21,60
751510,6193593,439,28,53,28,6.99,23,295,13,125,26,81
751535,6194050,508,17,37,27,8.81,20,549,13,105,30,98
753497,6197276,564,14,33,18,3.80,16,313,23,59,15,56
753421,6198235,541,13,49,28,4.60,27,297,11,61,21,75
754437,6200203,348,15,42,19,8.91,18,601,14,109,34,106
754221,6200324,375,11,30,21,7.95,15,239,22,93,30,114
755180,6201245,440,18,66,23,5.46,31,383,11,84,22,84
759011,6200787,455,15,41,16,9.29,20,440,19,132,26,101
759049,6201092,464,11,35,24,9.09,18,345,21,124,25,109
758452,6202076,416,12,35,21,7.29,12,558,20,93,18,82
758261,6201422,433,20,42,26,6.78,24,250,16,110,42,82
757220,6201307,470,11,26,20,5.68,13,298,15,94,19,81
756737,6201631,410,25,39,21,8.45,25,343,20,115,17,82
756591,6201238,453,14,40,22,6.63,20,350,12,88,18,77
756769,6199904,488,20,69,27,8.08,25,236,15,106,46,78
758338,6199796,475,14,46,22,7.58,25,391,13,115,25,92
758344,6200171,428,14,37,19,8.48,19,270,20,100,22,85
757569,6199472,417,12,31,23,4.28,16,337,15,72,25,73
756871,6196012,408,11,37,21,6.25,17,377,11,60,35,84
756979,6196532,426,20,44,22,3.17,25,386,18,51,20,56
756788,6196380,444,14,45,24,5.22,23,341,20,57,31,71
756617,6197231,425,29,42,18,3.73,17,262,20,59,17,52
756871,6198418,521,13,44,30,5.69,21,1358,12,57,34,75
755220,6198577,464,13,35,22,6.48,20,460,29,79,30,85
755226,6198837,425,11,51,26,7.55,27,352,13,119,27,108
754540,6198685,409,20,53,26,7.48,27,276,22,101,23,83
754534,6197701,415,18,45,22,5.29,25,362,11,67,30,73
754470,6197148,495,13,46,23,7.46,20,403,20,82,43,91
754534,6196666,671,12,41,21,9.58,21,529,13,91,34,106
754291,6196273,591,29,38,21,7.08,18,311,13,81,24,81
756121,6194132,406,29,41,21,5.52,11,417,11,55,40,67
756052,6193935,398,29,36,21,2.97,20,209,19,47,17,39
754966,6194545,434,18,54,24,3.93,29,644,22,56,20,50
756039,6194824,435,11,38,26,4.80,18,305,16,60,33,64
755753,6194799,451,17,42,28,6.06,22,358,12,62,42,63
755055,6195091,451,12,35,21,7.01,18,337,13,70,30,78
754642,6195681,396,12,38,24,4.83,15,303,18,60,21,61
755607,6196431,424,14,49,28,6.99,22,328,11,69,24,70
755429,6196628,351,18,49,34,5.76,32,220,13,74,17,66
752157,6198603,652,16,41,23,5.79,23,441,12,91,25,88
753008,6198641,531,21,53,25,5.65,22,576,20,76,24,81
752824,6197987,544,30,34,25,5.06,16,400,15,73,19,71
750925,6195206,664,16,46,30,6.06,23,916,16,77,26,90
751122,6194825,446,19,64,27,6.99,39,487,21,91,21,100
750494,6196527,810,11,41,23,5.78,29,1266,17,77,24,77
755536,6199575,376,30,52,23,8.12,23,479,12,94,20,98
755555,6199867,331,18,75,20,11.71,45,435,21,97,19,98
754958,6199638,501,12,46,24,7.48,27,310,13,108,22,94
753135,6199822,495,15,48,25,7.33,31,349,15,94,34,121
752735,6199244,369,11,43,24,6.43,19,488,14,87,49,104
751910,6199867,673,23,45,29,8.09,27,643,13,92,34,110
751776,6199086,731,30,48,23,5.29,25,502,11,88,23,67
750741,6199518,691,15,41,22,5.49,23,773,17,80,25,65
751040,6199384,752,11,46,23,5.00,23,895,15,66,20,66
749757,6198489,560,31,52,26,6.58,28,477,15,80,32,90
749897,6198590,643,12,30,18,5.59,12,403,14,82,29,63
751687,6200775,531,14,50,22,4.86,25,381,14,72,21,67
751687,6201289,508,19,51,24,7.21,21,419,19,86,25,77
752595,6201740,541,20,50,24,5.72,17,516,14,91,23,75
752576,6200864,681,15,52,29,10.59,31,565,15,91,30,103
753421,6201943,422,18,41,29,8.26,22,267,21,116,35,75
